[INFO ] [2021-07-18 16:51:24,800] Register to system
[INFO ] [2021-07-18 17:16:14,950] Verify the completed register page is displayed
[INFO ] [2021-07-18 17:16:19,670] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 17:16:19,831] Select business role
[INFO ] [2021-07-18 17:16:21,387] Select company register place
[INFO ] [2021-07-18 17:16:26,029] Select solutions
[INFO ] [2021-07-18 17:16:32,378] Click to continue button
[INFO ] [2021-07-18 17:16:32,552] Select registration method
[INFO ] [2021-07-18 17:16:51,594] Input date of birth to the textbox field
[INFO ] [2021-07-18 17:16:51,953] Select nationality in dropdown list
[INFO ] [2021-07-18 18:04:16,680] Register to system
[INFO ] [2021-07-18 18:04:17,010] Navigate to register page
[INFO ] [2021-07-18 18:04:23,028] Input fullname to full name textbox
[INFO ] [2021-07-18 18:04:25,282] Input email to email textbox
[INFO ] [2021-07-18 18:04:26,931] Input phone to phone textbox
[INFO ] [2021-07-18 18:04:28,300] Select information channel
[INFO ] [2021-07-18 18:04:31,876] Check to term checkbox
[INFO ] [2021-07-18 18:04:32,090] click to continue button
[INFO ] [2021-07-18 18:04:32,258] input mobile OTP number
[INFO ] [2021-07-18 18:04:39,581] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:04:44,500] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:04:44,664] Select business role
[INFO ] [2021-07-18 18:04:46,185] Select company register place
[INFO ] [2021-07-18 18:04:50,958] Select solutions
[INFO ] [2021-07-18 18:04:57,220] Click to continue button
[INFO ] [2021-07-18 18:04:57,387] Select registration method
[INFO ] [2021-07-18 18:05:13,319] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:05:13,870] Select nationality in dropdown list
[INFO ] [2021-07-18 18:27:29,600] Register to system
[INFO ] [2021-07-18 18:27:30,129] Navigate to register page
[INFO ] [2021-07-18 18:27:36,833] Input fullname to full name textbox
[INFO ] [2021-07-18 18:27:41,944] Input email to email textbox
[INFO ] [2021-07-18 18:27:43,686] Input phone to phone textbox
[INFO ] [2021-07-18 18:27:44,989] Select information channel
[INFO ] [2021-07-18 18:27:48,611] Check to term checkbox
[INFO ] [2021-07-18 18:27:48,805] click to continue button
[INFO ] [2021-07-18 18:27:48,997] input mobile OTP number
[INFO ] [2021-07-18 18:27:56,592] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:28:01,421] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:28:01,591] Select business role
[INFO ] [2021-07-18 18:28:03,107] Select company register place
[INFO ] [2021-07-18 18:28:07,718] Select solutions
[INFO ] [2021-07-18 18:28:13,530] Click to continue button
[INFO ] [2021-07-18 18:28:13,724] Select registration method
[INFO ] [2021-07-18 18:28:33,070] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:28:33,587] Select nationality in dropdown list
[INFO ] [2021-07-18 18:42:14,694] Register to system
[INFO ] [2021-07-18 18:42:14,983] Navigate to register page
[INFO ] [2021-07-18 18:42:19,868] Input fullname to full name textbox
[INFO ] [2021-07-18 18:42:22,397] Input email to email textbox
[INFO ] [2021-07-18 18:42:23,995] Input phone to phone textbox
[INFO ] [2021-07-18 18:42:25,392] Select information channel
[INFO ] [2021-07-18 18:42:28,991] Check to term checkbox
[INFO ] [2021-07-18 18:42:29,183] click to continue button
[INFO ] [2021-07-18 18:42:29,342] input mobile OTP number
[INFO ] [2021-07-18 18:42:36,373] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:42:41,143] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:42:41,341] Select business role
[INFO ] [2021-07-18 18:42:42,901] Select company register place
[INFO ] [2021-07-18 18:42:47,498] Select solutions
[INFO ] [2021-07-18 18:42:53,398] Click to continue button
[INFO ] [2021-07-18 18:42:53,563] Select registration method
[INFO ] [2021-07-18 18:43:09,186] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:44:11,692] Register to system
[INFO ] [2021-07-18 18:44:12,280] Navigate to register page
[INFO ] [2021-07-18 18:44:21,861] Input fullname to full name textbox
[INFO ] [2021-07-18 18:44:24,492] Input email to email textbox
[INFO ] [2021-07-18 18:44:26,773] Input phone to phone textbox
[INFO ] [2021-07-18 18:44:28,199] Select information channel
[INFO ] [2021-07-18 18:44:31,751] Check to term checkbox
[INFO ] [2021-07-18 18:44:31,963] click to continue button
[INFO ] [2021-07-18 18:44:32,117] input mobile OTP number
[INFO ] [2021-07-18 18:44:39,110] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:44:43,884] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:44:44,066] Select business role
[INFO ] [2021-07-18 18:44:45,781] Select company register place
[INFO ] [2021-07-18 18:44:50,401] Select solutions
[INFO ] [2021-07-18 18:44:56,216] Click to continue button
[INFO ] [2021-07-18 18:44:56,342] Select registration method
[INFO ] [2021-07-18 18:45:14,504] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:48:37,480] Register to system
[INFO ] [2021-07-18 18:48:38,025] Navigate to register page
[INFO ] [2021-07-18 18:48:44,677] Input fullname to full name textbox
[INFO ] [2021-07-18 18:48:49,453] Input email to email textbox
[INFO ] [2021-07-18 18:48:51,154] Input phone to phone textbox
[INFO ] [2021-07-18 18:48:52,519] Select information channel
[INFO ] [2021-07-18 18:48:56,073] Check to term checkbox
[INFO ] [2021-07-18 18:48:56,298] click to continue button
[INFO ] [2021-07-18 18:48:56,459] input mobile OTP number
[INFO ] [2021-07-18 18:49:04,194] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:49:10,307] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:49:10,882] Select business role
[INFO ] [2021-07-18 18:49:13,104] Select company register place
[INFO ] [2021-07-18 18:49:17,673] Select solutions
[INFO ] [2021-07-18 18:49:23,298] Click to continue button
[INFO ] [2021-07-18 18:49:23,426] Select registration method
[INFO ] [2021-07-18 18:49:41,144] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:53:04,898] Register to system
[INFO ] [2021-07-18 18:53:05,397] Navigate to register page
[INFO ] [2021-07-18 18:53:14,844] Input fullname to full name textbox
[INFO ] [2021-07-18 18:53:19,103] Input email to email textbox
[INFO ] [2021-07-18 18:53:20,736] Input phone to phone textbox
[INFO ] [2021-07-18 18:53:22,078] Select information channel
[INFO ] [2021-07-18 18:53:25,996] Check to term checkbox
[INFO ] [2021-07-18 18:53:26,497] click to continue button
[INFO ] [2021-07-18 18:53:26,665] input mobile OTP number
[INFO ] [2021-07-18 18:53:33,970] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:53:38,731] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:53:38,928] Select business role
[INFO ] [2021-07-18 18:53:40,609] Select company register place
[INFO ] [2021-07-18 18:53:45,161] Select solutions
[INFO ] [2021-07-18 18:53:50,763] Click to continue button
[INFO ] [2021-07-18 18:53:50,877] Select registration method
[INFO ] [2021-07-18 18:54:05,531] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:55:45,192] Register to system
[INFO ] [2021-07-18 18:55:45,712] Navigate to register page
[INFO ] [2021-07-18 18:56:01,190] Input fullname to full name textbox
[INFO ] [2021-07-18 18:56:06,076] Input email to email textbox
[INFO ] [2021-07-18 18:56:07,638] Input phone to phone textbox
[INFO ] [2021-07-18 18:56:08,957] Select information channel
[INFO ] [2021-07-18 18:56:12,525] Check to term checkbox
[INFO ] [2021-07-18 18:56:12,738] click to continue button
[INFO ] [2021-07-18 18:56:12,892] input mobile OTP number
[INFO ] [2021-07-18 18:56:19,643] Verify the completed register page is displayed
[INFO ] [2021-07-18 18:56:24,453] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 18:56:24,616] Select business role
[INFO ] [2021-07-18 18:56:26,519] Select company register place
[INFO ] [2021-07-18 18:56:31,476] Select solutions
[INFO ] [2021-07-18 18:56:37,232] Click to continue button
[INFO ] [2021-07-18 18:56:37,369] Select registration method
[INFO ] [2021-07-18 18:56:52,907] Input date of birth to the textbox field
[INFO ] [2021-07-18 18:56:54,885] Select nationality in dropdown list
[INFO ] [2021-07-18 19:06:32,472] Register to system
[INFO ] [2021-07-18 19:06:32,972] Navigate to register page
[INFO ] [2021-07-18 19:06:47,479] Input fullname to full name textbox
[INFO ] [2021-07-18 19:06:50,318] Input email to email textbox
[INFO ] [2021-07-18 19:06:52,004] Input phone to phone textbox
[INFO ] [2021-07-18 19:06:53,372] Select information channel
[INFO ] [2021-07-18 19:06:56,948] Check to term checkbox
[INFO ] [2021-07-18 19:06:57,117] click to continue button
[INFO ] [2021-07-18 19:06:57,276] input mobile OTP number
[INFO ] [2021-07-18 19:07:10,234] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:07:18,868] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:07:19,012] Select business role
[INFO ] [2021-07-18 19:07:23,074] Select company register place
[INFO ] [2021-07-18 19:10:26,358] Register to system
[INFO ] [2021-07-18 19:10:26,881] Navigate to register page
[INFO ] [2021-07-18 19:10:38,151] Input fullname to full name textbox
[INFO ] [2021-07-18 19:10:43,425] Input email to email textbox
[INFO ] [2021-07-18 19:10:45,082] Input phone to phone textbox
[INFO ] [2021-07-18 19:10:46,473] Select information channel
[INFO ] [2021-07-18 19:10:50,085] Check to term checkbox
[INFO ] [2021-07-18 19:10:50,233] click to continue button
[INFO ] [2021-07-18 19:10:50,383] input mobile OTP number
[INFO ] [2021-07-18 19:10:58,240] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:11:03,041] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:11:03,216] Select business role
[INFO ] [2021-07-18 19:11:05,122] Select company register place
[INFO ] [2021-07-18 19:11:13,980] Select solutions
[INFO ] [2021-07-18 19:11:19,651] Click to continue button
[INFO ] [2021-07-18 19:11:19,776] Select registration method
[INFO ] [2021-07-18 19:11:36,683] Input date of birth to the textbox field
[INFO ] [2021-07-18 19:15:24,272] Register to system
[INFO ] [2021-07-18 19:15:24,772] Navigate to register page
[INFO ] [2021-07-18 19:15:36,405] Input fullname to full name textbox
[INFO ] [2021-07-18 19:15:39,825] Input email to email textbox
[INFO ] [2021-07-18 19:15:41,431] Input phone to phone textbox
[INFO ] [2021-07-18 19:15:42,758] Select information channel
[INFO ] [2021-07-18 19:15:46,324] Check to term checkbox
[INFO ] [2021-07-18 19:15:46,503] click to continue button
[INFO ] [2021-07-18 19:15:46,673] input mobile OTP number
[INFO ] [2021-07-18 19:15:53,775] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:15:58,471] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:15:58,684] Select business role
[INFO ] [2021-07-18 19:16:00,234] Select company register place
[INFO ] [2021-07-18 19:16:04,776] Select solutions
[INFO ] [2021-07-18 19:16:10,535] Click to continue button
[INFO ] [2021-07-18 19:16:10,697] Select registration method
[INFO ] [2021-07-18 19:16:24,980] Input date of birth to the textbox field
[INFO ] [2021-07-18 19:16:29,501] Select nationality in dropdown list
[INFO ] [2021-07-18 19:17:42,596] Register to system
[INFO ] [2021-07-18 19:17:42,891] Navigate to register page
[INFO ] [2021-07-18 19:17:47,948] Input fullname to full name textbox
[INFO ] [2021-07-18 19:17:50,786] Input email to email textbox
[INFO ] [2021-07-18 19:17:52,463] Input phone to phone textbox
[INFO ] [2021-07-18 19:17:53,825] Select information channel
[INFO ] [2021-07-18 19:17:57,347] Check to term checkbox
[INFO ] [2021-07-18 19:17:57,523] click to continue button
[INFO ] [2021-07-18 19:17:57,692] input mobile OTP number
[INFO ] [2021-07-18 19:18:06,626] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:18:11,473] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:18:11,751] Select business role
[INFO ] [2021-07-18 19:18:13,418] Select company register place
[INFO ] [2021-07-18 19:18:17,981] Select solutions
[INFO ] [2021-07-18 19:18:26,454] Click to continue button
[INFO ] [2021-07-18 19:18:26,949] Select registration method
[INFO ] [2021-07-18 19:18:45,076] Input date of birth to the textbox field
[INFO ] [2021-07-18 19:18:49,890] Select nationality in dropdown list
[INFO ] [2021-07-18 19:47:06,605] Register to system
[INFO ] [2021-07-18 19:47:07,133] Navigate to register page
[INFO ] [2021-07-18 19:47:16,526] Input fullname to full name textbox
[INFO ] [2021-07-18 19:47:19,923] Input email to email textbox
[INFO ] [2021-07-18 19:47:21,568] Input phone to phone textbox
[INFO ] [2021-07-18 19:47:22,896] Select information channel
[INFO ] [2021-07-18 19:47:26,402] Check to term checkbox
[INFO ] [2021-07-18 19:47:26,598] click to continue button
[INFO ] [2021-07-18 19:47:26,764] input mobile OTP number
[INFO ] [2021-07-18 19:47:32,740] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:47:36,457] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:47:36,626] Select business role
[INFO ] [2021-07-18 19:47:38,194] Select company register place
[INFO ] [2021-07-18 19:47:42,666] Select solutions
[INFO ] [2021-07-18 19:47:48,275] Click to continue button
[INFO ] [2021-07-18 19:47:48,416] Select registration method
[INFO ] [2021-07-18 19:48:08,208] Input date of birth to the textbox field
[INFO ] [2021-07-18 19:48:15,406] Select nationality in dropdown list
[INFO ] [2021-07-18 19:48:20,071] Select gender in dropdown list
[INFO ] [2021-07-18 19:48:23,616] Click to submit button
[INFO ] [2021-07-18 19:54:23,588] Register to system
[INFO ] [2021-07-18 19:54:28,691] Navigate to register page
[INFO ] [2021-07-18 19:54:31,925] Input fullname to full name textbox
[INFO ] [2021-07-18 19:54:33,901] Input email to email textbox
[INFO ] [2021-07-18 19:54:35,630] Input phone to phone textbox
[INFO ] [2021-07-18 19:54:38,390] Select information channel
[INFO ] [2021-07-18 19:54:42,886] Check to term checkbox
[INFO ] [2021-07-18 19:54:43,087] click to continue button
[INFO ] [2021-07-18 19:54:43,246] input mobile OTP number
[INFO ] [2021-07-18 19:54:49,028] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:54:52,700] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:54:52,833] Select business role
[INFO ] [2021-07-18 19:54:54,245] Select company register place
[INFO ] [2021-07-18 19:54:58,788] Select solutions
[INFO ] [2021-07-18 19:55:04,417] Click to continue button
[INFO ] [2021-07-18 19:55:04,538] Select registration method
[INFO ] [2021-07-18 19:55:17,405] Input date of birth to the textbox field
[INFO ] [2021-07-18 19:55:24,628] Select nationality in dropdown list
[INFO ] [2021-07-18 19:55:29,299] Select gender in dropdown list
[INFO ] [2021-07-18 19:55:32,621] Click to submit button
[INFO ] [2021-07-18 19:56:52,280] Register to system
[INFO ] [2021-07-18 19:56:52,578] Navigate to register page
[INFO ] [2021-07-18 19:56:58,610] Input fullname to full name textbox
[INFO ] [2021-07-18 19:57:00,544] Input email to email textbox
[INFO ] [2021-07-18 19:57:03,513] Input phone to phone textbox
[INFO ] [2021-07-18 19:57:05,503] Select information channel
[INFO ] [2021-07-18 19:57:10,566] Check to term checkbox
[INFO ] [2021-07-18 19:57:10,743] click to continue button
[INFO ] [2021-07-18 19:57:10,989] input mobile OTP number
[INFO ] [2021-07-18 19:57:18,580] Verify the completed register page is displayed
[INFO ] [2021-07-18 19:57:22,494] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 19:57:22,697] Select business role
[INFO ] [2021-07-18 19:57:24,177] Select company register place
[INFO ] [2021-07-18 19:57:28,670] Select solutions
[INFO ] [2021-07-18 19:57:34,263] Click to continue button
[INFO ] [2021-07-18 19:57:34,380] Select registration method
[INFO ] [2021-07-18 19:57:44,377] Input date of birth to the textbox field
[INFO ] [2021-07-18 20:01:30,556] Register to system
[INFO ] [2021-07-18 20:01:30,823] Navigate to register page
[INFO ] [2021-07-18 20:01:34,229] Input fullname to full name textbox
[INFO ] [2021-07-18 20:01:36,494] Input email to email textbox
[INFO ] [2021-07-18 20:01:38,109] Input phone to phone textbox
[INFO ] [2021-07-18 20:01:39,470] Select information channel
[INFO ] [2021-07-18 20:01:43,093] Check to term checkbox
[INFO ] [2021-07-18 20:01:43,257] click to continue button
[INFO ] [2021-07-18 20:01:43,415] input mobile OTP number
[INFO ] [2021-07-18 20:01:49,094] Verify the completed register page is displayed
[INFO ] [2021-07-18 20:01:52,814] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 20:01:52,983] Select business role
[INFO ] [2021-07-18 20:01:54,422] Select company register place
[INFO ] [2021-07-18 20:01:58,922] Select solutions
[INFO ] [2021-07-18 20:02:04,472] Click to continue button
[INFO ] [2021-07-18 20:02:04,591] Select registration method
[INFO ] [2021-07-18 20:02:18,437] Input date of birth to the textbox field
[INFO ] [2021-07-18 20:02:27,749] Select nationality in dropdown list
[INFO ] [2021-07-18 20:02:32,351] Select gender in dropdown list
[INFO ] [2021-07-18 20:02:35,805] Click to submit button
[INFO ] [2021-07-18 20:02:35,949] Input email OTP number to textbox
[INFO ] [2021-07-18 20:18:46,319] Register to system
[INFO ] [2021-07-18 20:18:46,674] Navigate to register page
[INFO ] [2021-07-18 20:18:51,293] Input fullname to full name textbox
[INFO ] [2021-07-18 20:18:56,403] Input email to email textbox
[INFO ] [2021-07-18 20:18:58,026] Input phone to phone textbox
[INFO ] [2021-07-18 20:18:59,702] Select information channel
[INFO ] [2021-07-18 20:19:05,623] Check to term checkbox
[INFO ] [2021-07-18 20:19:05,806] click to continue button
[INFO ] [2021-07-18 20:19:06,063] input mobile OTP number
[INFO ] [2021-07-18 20:19:15,090] Verify the completed register page is displayed
[INFO ] [2021-07-18 20:19:18,962] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 20:19:19,282] Select business role
[INFO ] [2021-07-18 20:19:20,878] Select company register place
[INFO ] [2021-07-18 20:19:25,473] Select solutions
[INFO ] [2021-07-18 20:19:32,307] Click to continue button
[INFO ] [2021-07-18 20:19:32,466] Select registration method
[INFO ] [2021-07-18 20:19:48,444] Input date of birth to the textbox field
[INFO ] [2021-07-18 20:19:58,340] Select nationality in dropdown list
[INFO ] [2021-07-18 20:20:02,861] Select gender in dropdown list
[INFO ] [2021-07-18 20:20:07,047] Click to submit button
[INFO ] [2021-07-18 20:20:07,223] Input email OTP number to textbox
[INFO ] [2021-07-18 21:08:27,765] Register to system
[INFO ] [2021-07-18 21:08:28,274] Navigate to register page
[INFO ] [2021-07-18 21:08:33,783] Input fullname to full name textbox
[INFO ] [2021-07-18 21:08:36,103] Input email to email textbox
[INFO ] [2021-07-18 21:08:37,782] Input phone to phone textbox
[INFO ] [2021-07-18 21:08:39,125] Select information channel
[INFO ] [2021-07-18 21:08:42,763] Check to term checkbox
[INFO ] [2021-07-18 21:08:43,866] click to continue button
[INFO ] [2021-07-18 21:08:45,375] input mobile OTP number
[INFO ] [2021-07-18 21:08:50,639] Verify the completed register page is displayed
[INFO ] [2021-07-18 21:08:54,396] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 21:08:54,569] Select business role
[INFO ] [2021-07-18 21:08:56,036] Select company register place
[INFO ] [2021-07-18 21:09:00,758] Select solutions
[INFO ] [2021-07-18 21:09:06,365] Click to continue button
[INFO ] [2021-07-18 21:09:06,505] Select registration method
[INFO ] [2021-07-18 21:09:18,792] Input date of birth to the textbox field
[INFO ] [2021-07-18 21:09:27,656] Select nationality in dropdown list
[INFO ] [2021-07-18 21:09:32,108] Select gender in dropdown list
[INFO ] [2021-07-18 21:09:35,461] Click to submit button
[INFO ] [2021-07-18 21:09:35,593] Input email OTP number to textbox
[INFO ] [2021-07-18 21:15:57,295] Register to system
[INFO ] [2021-07-18 21:15:57,539] Navigate to register page
[INFO ] [2021-07-18 21:16:03,148] Input fullname to full name textbox
[INFO ] [2021-07-18 21:16:05,871] Input email to email textbox
[INFO ] [2021-07-18 21:16:07,555] Input phone to phone textbox
[INFO ] [2021-07-18 21:16:08,978] Select information channel
[INFO ] [2021-07-18 21:16:14,120] Check to term checkbox
[INFO ] [2021-07-18 21:16:14,310] click to continue button
[INFO ] [2021-07-18 21:16:14,462] input mobile OTP number
[INFO ] [2021-07-18 21:16:20,329] Verify the completed register page is displayed
[INFO ] [2021-07-18 21:16:24,014] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 21:16:24,166] Select business role
[INFO ] [2021-07-18 21:16:25,755] Select company register place
[INFO ] [2021-07-18 21:16:30,357] Select solutions
[INFO ] [2021-07-18 21:16:36,135] Click to continue button
[INFO ] [2021-07-18 21:16:36,282] Select registration method
[INFO ] [2021-07-18 21:16:59,218] Input date of birth to the textbox field
[INFO ] [2021-07-18 21:17:08,028] Select nationality in dropdown list
[INFO ] [2021-07-18 21:17:12,517] Select gender in dropdown list
[INFO ] [2021-07-18 21:17:16,056] Click to submit button
[INFO ] [2021-07-18 21:17:16,196] Input email OTP number to textbox
[INFO ] [2021-07-18 21:35:24,551] Register to system
[INFO ] [2021-07-18 21:36:39,977] Register to system
[INFO ] [2021-07-18 21:37:19,192] Navigate to register page
[INFO ] [2021-07-18 21:37:19,850] Input fullname to full name textbox
[INFO ] [2021-07-18 21:37:23,746] Input email to email textbox
[INFO ] [2021-07-18 21:37:25,885] Input phone to phone textbox
[INFO ] [2021-07-18 21:44:45,930] Register to system
[INFO ] [2021-07-18 21:44:46,240] Navigate to register page
[INFO ] [2021-07-18 21:44:50,738] Input fullname to full name textbox
[INFO ] [2021-07-18 21:44:52,941] Input email to email textbox
[INFO ] [2021-07-18 21:44:54,612] Input phone to phone textbox
[INFO ] [2021-07-18 21:44:55,966] Select information channel
[INFO ] [2021-07-18 21:44:59,623] Check to term checkbox
[INFO ] [2021-07-18 21:44:59,896] click to continue button
[INFO ] [2021-07-18 21:45:00,079] input mobile OTP number
[INFO ] [2021-07-18 21:45:06,059] Verify the completed register page is displayed
[INFO ] [2021-07-18 21:45:09,712] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 21:45:09,874] Select business role
[INFO ] [2021-07-18 21:45:11,456] Select company register place
[INFO ] [2021-07-18 21:45:15,935] Select solutions
[INFO ] [2021-07-18 21:45:21,507] Click to continue button
[INFO ] [2021-07-18 21:45:21,633] Select registration method
[INFO ] [2021-07-18 21:45:39,200] Input date of birth to the textbox field
[INFO ] [2021-07-18 21:45:48,759] Select nationality in dropdown list
[INFO ] [2021-07-18 21:45:53,216] Select gender in dropdown list
[INFO ] [2021-07-18 21:45:56,635] Click to submit button
[INFO ] [2021-07-18 21:45:56,792] Input email OTP number to textbox
[INFO ] [2021-07-18 22:26:06,387] Register to system
[INFO ] [2021-07-18 22:26:06,798] Navigate to register page
[INFO ] [2021-07-18 22:26:10,431] Input fullname to full name textbox
[INFO ] [2021-07-18 22:26:14,187] Input email to email textbox
[INFO ] [2021-07-18 22:26:15,988] Input phone to phone textbox
[INFO ] [2021-07-18 22:26:19,385] Select information channel
[INFO ] [2021-07-18 22:26:24,012] Check to term checkbox
[INFO ] [2021-07-18 22:26:24,243] click to continue button
[INFO ] [2021-07-18 22:26:24,393] input mobile OTP number
[INFO ] [2021-07-18 22:26:30,034] Verify the completed register page is displayed
[INFO ] [2021-07-18 22:26:33,727] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 22:26:33,881] Select business role
[INFO ] [2021-07-18 22:26:35,536] Select company register place
[INFO ] [2021-07-18 22:26:41,459] Select solutions
[INFO ] [2021-07-18 22:26:47,233] Click to continue button
[INFO ] [2021-07-18 22:26:47,426] Select registration method
[INFO ] [2021-07-18 22:26:58,049] Input date of birth to the textbox field
